127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/api/mantle/isAuthenticated HTTP/1.1" 200 14
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/content/default-plugin/resources/messages/messages.properties HTTP/1.1" 200 121
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/mantle/home/ HTTP/1.1" 200 11497
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/api/repo/files/canCreate HTTP/1.1" 200 14
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/plugin/data-access/api/datasource/dsw/ids?ts=1526548657296 HTTP/1.1" 200 62
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/content/default-plugin/resources/messages/messages.properties HTTP/1.1" 200 121
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/api/plugin-manager/overlays HTTP/1.1" 200 4218
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/content/default-plugin/resources/messages/messages_en.properties HTTP/1.1" 200 120
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/api/theme/list HTTP/1.1" 200 92
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/mantle/home/webcontext.js?context=mantle&cssOnly=true HTTP/1.1" 200 5129
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/content/default-plugin/resources/messages/messages_en.properties HTTP/1.1" 200 120
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/content/default-plugin/resources/messages/messages.properties HTTP/1.1" 200 121
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/plugin/data-access/api/permissions/hasDataAccess HTTP/1.1" 200 14
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/api/repo/files/canAdminister HTTP/1.1" 200 14
127.0.0.1 - - [17/May/2018:12:17:41 +0300] "GET /pentaho/content/sparkl/resources/sparkl-require-js-cfg.js?context=mantle&cssOnly=true HTTP/1.1" 200 1525
127.0.0.1 - - [17/May/2018:12:17:42 +0300] "GET /pentaho/api/repo/files/:/tree?depth=-1&filter=*&showHidden=false&ts=1526548659101 HTTP/1.1" 200 30449
127.0.0.1 - - [17/May/2018:12:17:42 +0300] "GET /pentaho/content/client-config-folder-enabler/client-config-enabler-require-js-cfg.js?context=mantle&cssOnly=true HTTP/1.1" 200 1019
127.0.0.1 - - [17/May/2018:12:17:42 +0300] "GET /pentaho/js/themes.js?context=mantle&cssOnly=true HTTP/1.1" 200 1686
127.0.0.1 - - [17/May/2018:12:17:42 +0300] "GET /pentaho/content/default-plugin/resources/messages/messages.properties HTTP/1.1" 200 121
127.0.0.1 - - [17/May/2018:12:17:42 +0300] "GET /pentaho/plugin/data-access/api/datasource/metadata/ids?ts=1526548657295 HTTP/1.1" 200 212
